Document,amazing,fantastic,heartwarming,great,disaster,boring,waste,poor
POS_1,0.13092974,-0.13447656,-0.06755845,0.051027793,-0.048495248,-0.024330953,0.13647382,0.04401767
POS_2,0.19722012,-0.15377478,-0.1674354,-0.15661126,0.013214572,0.012843152,0.10347743,-0.03217298
POS_3,0.06712405,-0.22899231,-0.1628617,-0.015534097,0.022424093,-0.115306035,0.11241148,-0.042442814
POS_4,-0.033408884,-0.21712342,-0.02286085,-0.080850706,-0.031281494,0.058274835,0.07540877,-0.039708193
POS_5,0.08297543,-0.23574738,-0.24463974,-0.08044296,-0.04137964,0.057880398,0.0022526484,0.093824916
NEG_1,-0.04643457,0.1787023,-0.11001838,-0.05795366,-0.06936682,0.13166247,0.13196667,-0.08621653
NEG_2,0.036449697,0.059000637,-0.2225814,-0.1978092,-0.14975607,0.019214757,0.04318548,-0.005632034
NEG_3,-0.17250787,0.1910934,-0.09233987,-0.113532685,0.093372464,0.0031870268,-0.014368549,-0.10616206
NEG_4,0.13565826,0.05030402,-0.1442619,-0.2659476,-0.056526255,0.026410032,0.11340362,-0.006193956
NEG_5,0.01606411,0.15579183,-0.11120885,-0.11643917,-0.13633715,0.06880269,0.10895109,-0.034000993
