Document,amazing,fantastic,heartwarming,great,disaster,boring,waste,poor
POS_1,0.11687219,-0.07011185,-0.15229824,-0.0072543873,-0.1274109,0.09006416,0.18540023,-0.06568296
POS_2,0.16540357,-0.16188374,-0.14173724,-0.05508281,-0.021421062,-0.024162605,0.037464645,-0.17006323
POS_3,0.09093419,-0.10123808,-0.31631014,-0.108208425,-0.10680239,-0.0071348986,0.13552958,0.016152754
POS_4,0.082069896,-0.113132715,-0.024907643,-0.07210391,0.04940053,0.032456715,0.05305042,-0.12740149
POS_5,0.12189593,-0.25644118,-0.16719116,0.034334585,-0.039044913,0.049826737,0.06956363,-0.049406223
NEG_1,0.0112818405,0.1681846,-0.13175786,-0.11993692,-0.104121014,0.11305233,0.03095248,-0.12472311
NEG_2,0.12939233,0.035181582,-0.1874019,-0.023385333,-0.06583771,0.07481449,0.017085847,-0.11917734
NEG_3,-0.06233833,0.16936967,-0.12967543,-0.08451206,-0.05408427,0.010441618,0.058128256,-0.1668165
NEG_4,-7.612619e-05,-0.023595162,-0.18655682,-0.1839019,0.016443498,0.053867754,0.1325161,-0.1213933
NEG_5,0.0471548,0.115397975,-0.17485592,-0.17010765,-0.21747221,0.13743432,0.15013282,-0.10005764
